Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,20pF,C5137583
"C10, C11, C12, C15, C17, C20, C22, C25, C26, C27, C28, C3, C39, C4, C40, C8, C9",0603,17,2.2uf,C2835569
"C13, C14, C16, C21, C24, C29, C30, C31, C32, C41, C5",0603,11,100nF,C14663
C18,0603,1,10nF,C100042
C19,1812,1,4.7uF 100V,C2831628
C23,0603,1,22uF_16V,C59461
"C33, C36, C38",0603,3,1nF,C342905
"C34, C35, C37",0603,3,15nF,C527994
"C42, C43, C44, C45, C46, C47",CP_Radial_D16.0mm_P7.50mm,6,470uF_100V,C365811
"C6, C7",0603,2,2.2uf,C2167658
"D1, D3",0603,2,LED,C3291493
D2,0603,1,LED,C496821
"J1, J2, J3, J4",PinHeader_2x03_P2.54mm_Vertical,4,Conn_02x03_Odd_Even,C32713304
"J10, J11",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,Conn_01x05,C157991
"J12, J5, J6",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,C144395
J7,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06,C144397
J8,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Conn_01x08,C157972
J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,C144394
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,DNP,DNP
"JP2, JP4, JP5, JP6, JP8",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,5,DNP,
JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
"L1, L2, L3",L_TDK_VLS6045EX_VLS6045AF,3,100uH 1A,C2042037
R1,0603,1,402k,C705774
"R10, R12, R14, R8",0805,4,56k 0.5W,C441990
"R11, R13, R15, R9",0805,4,2.2k,C2078022
"R16, R17, R18, R19",0603,4,220R,C351666
"R2, R5, R7",0603,3,10k,C98220
"R20, R21, R22",0603,3,2.2k,C2078022
R23,0603,1,100R,C855560
R3,0603,1,2k,C103396
"R4, R6",0603,2,33k,C163907
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,C15742
"U2, U3, U4",SOIC127P599X175-8N,3,UCC27210D,C2871979
U5,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,LM5161PWP,C468246
"U6, U7",SOP65P490X110-8N,2,MCP16311-E_MS,C627024
U8,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,TJA1051TK-3,C2875699
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,C5265856
