Designator,Mid X,Mid Y,Rotation,Layer
C1,90.94,-107.47,270.0,top
C10,97.75,-122.73,270.0,top
C11,104.9,-122.73,270.0,top
C12,85.65,-102.98,90.0,top
C13,85.65,-99.98,90.0,top
C14,121.4,-99.98,90.0,top
C15,121.4,-102.98,90.0,top
C16,156.65,-99.98,90.0,top
C17,156.65,-102.98,90.0,top
C18,55.17,-105.98,270.0,top
C19,52.39,-104.38,270.0,top
C2,88.4,-105.97,180.0,top
C20,65.36,-104.3,0.0,top
C21,65.36,-102.77,0.0,top
C22,69.15,-98.23,90.0,top
C23,67.65,-98.23,90.0,top
C24,50.66,-119.765012,0.0,top
C25,57.255,-116.225,0.0,top
C26,57.255,-117.725,0.0,top
C27,57.255,-123.375,0.0,top
C28,57.255,-124.875,0.0,top
C29,50.66,-126.915012,0.0,top
C3,91.175,-116.44,180.0,top
C30,76.15,-105.005,270.0,top
C31,111.555,-105.03,270.0,top
C32,146.96,-105.03,270.0,top
C33,76.15,-111.48,270.0,top
C34,76.15,-108.455,90.0,top
C35,111.555,-108.455,90.0,top
C36,111.555,-111.48,270.0,top
C37,146.96,-108.455,90.0,top
C38,146.96,-111.48,270.0,top
C39,97.68,-98.16,90.0,top
C4,91.15,-117.98,180.0,top
C40,96.71,-104.84,180.0,top
C41,101.15,-101.48,270.0,top
C42,95.7,-93.23,180.0,top
C43,77.3,-93.23,180.0,top
C44,150.9,-93.23,180.0,top
C45,58.9,-93.23,180.0,top
C46,114.1,-93.23,180.0,top
C47,132.5,-93.23,180.0,top
C5,90.44,-112.47,0.0,top
C6,103.15,-122.73,90.0,top
C7,108.4,-109.73,270.0,top
C8,91.94,-110.05,180.0,top
C9,93.9,-102.73,90.0,top
D1,99.39,-104.48,270.0,top
D2,102.86,-104.48,270.0,top
D3,57.975,-112.73,180.0,top
J1,80.5305,-109.155,0.0,top
J10,92.65,-128.255,0.0,top
J11,142.15,-128.255,0.0,top
J12,91.65,-135.23,0.0,top
J2,115.9355,-109.155,0.0,top
J3,151.3405,-109.155,0.0,top
J4,45.1255,-109.155,0.0,top
J5,126.9,-128.255,0.0,top
J6,129.15,-135.23,0.0,top
J7,110.4,-128.255,0.0,top
J8,110.4,-135.23,0.0,top
J9,141.65,-135.205,0.0,top
L1,70.15,-103.23,0.0,top
L2,45.66,-117.265012,90.0,top
L3,45.66,-124.415012,90.0,top
R1,55.17,-102.98,270.0,top
R10,76.4,-98.23,270.0,top
R11,76.4,-101.73,270.0,top
R12,111.805,-98.23,270.0,top
R13,111.805,-101.73,270.0,top
R14,147.21,-98.23,270.0,top
R15,147.21,-101.73,270.0,top
R16,99.39,-101.48,90.0,top
R17,102.9,-101.48,90.0,top
R18,57.975,-111.23,180.0,top
R19,126.65,-124.53,0.0,top
R2,70.65,-98.23,270.0,top
R20,108.65,-123.98,180.0,top
R21,108.65,-122.48,180.0,top
R22,108.65,-120.98,180.0,top
R23,101.15,-104.48,90.0,top
R3,65.36,-105.83,180.0,top
R4,57.255,-114.725,0.0,top
R5,57.255,-119.225,180.0,top
R6,57.255,-121.875,0.0,top
R7,57.255,-126.375,180.0,top
R8,50.7375,-110.73,0.0,top
R9,54.2975,-110.76,0.0,top
U1,100.44,-113.97,270.0,top
U2,116.65,-101.23,180.0,top
U3,81.12,-101.365,180.0,top
U4,152.055,-101.23,180.0,top
U5,59.9,-103.455,270.0,top
U6,52.255,-124.055,180.0,top
U7,52.255,-116.905,180.0,top
U8,96.71,-101.8725,0.0,top
Y1,88.44,-108.87,90.0,top
