Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",1210,18,4.7uF_100V,C697607
"C19, C22, C24",0402,3,2.2uF,C2176814
"C20, C21, C23",0402,3,1nF,C106205
"H1, H2, H3, H5, H6",PEM_SMTSO-M3-6ET,5,SMTSO-M3-6ET,C30182787 
"H10, H11, H4, H7",PEM_SMTSO-M3-6ET,4,SMTSO-M3-6ET,C2916370 
"J1, J2, J3, J4",PinHeader_2x03_P2.54mm_Vertical_SMD,4,header 2x3,C192301 
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Infineon_PG-HSOF-8-1,18,IRLML6244,C697607
"R1, R11, R12, R13, R2, R3, R6, R7, R8",2512,9,0.0005R,C5119469
"R4, R5, R9",0402,3,10k,C60490
"TH1, TH2, TH3",0402,3,Thermistor_NTC,C2689808
"U1, U2, U3",TSSOP-8_4.4x3mm_P0.65mm,3,INA240A1PW,C93965
