Designator,Mid X,Mid Y,Rotation,Layer
C1,157.52,-86.44,90.0,top
C10,215.064118,-86.63,90.0,top
C11,218.299412,-86.63,90.0,top
C12,221.534706,-86.63,90.0,top
C13,224.77,-86.63,90.0,top
C14,228.005294,-86.63,90.0,top
C15,144.578824,-86.44,90.0,top
C16,147.814118,-86.44,90.0,top
C17,211.828824,-86.63,90.0,top
C18,151.049412,-86.44,90.0,top
C19,157.575,-49.75,270.0,top
C2,176.284118,-86.24,90.0,top
C20,157.625,-47.775,90.0,top
C21,193.03019,-47.775,90.0,top
C22,192.98019,-49.75,270.0,top
C23,228.435,-47.755,90.0,top
C24,228.385,-49.75,270.0,top
C3,179.519412,-86.24,90.0,top
C4,182.754706,-86.24,90.0,top
C5,185.99,-86.24,90.0,top
C6,189.225294,-86.24,90.0,top
C7,192.460588,-86.24,90.0,top
C8,154.284706,-86.44,90.0,top
C9,141.34353,-86.44,90.0,top
H1,161.4225,-59.9,0.0,top
H10,127.412,-38.54,0.0,top
H11,127.412,-72.54,0.0,top
H2,196.8275,-59.9,0.0,top
H3,232.2325,-59.9,0.0,top
H4,242.412,-38.54,0.0,top
H5,127.412,-27.14,0.0,top
H6,127.412,-83.94,0.0,top
H7,242.412,-72.54,0.0,top
J1,162.6975,-49.95,0.0,top
J2,198.1025,-49.95,0.0,top
J3,233.5075,-49.95,0.0,top
J4,127.2925,-49.95,0.0,top
Q1,136.645,-29.5,90.0,top
Q10,183.76,-70.8,90.0,top
Q11,194.9775,-29.5,90.0,top
Q12,195.115,-70.8,90.0,top
Q13,207.89,-29.47,90.0,top
Q14,207.81,-70.8,90.0,top
Q15,219.245,-29.47,90.0,top
Q16,219.165,-70.8,90.0,top
Q17,230.6,-29.47,90.0,top
Q18,230.52,-70.8,90.0,top
Q2,137.0,-70.8,90.0,top
Q3,148.0,-29.5,90.0,top
Q4,159.355,-29.5,90.0,top
Q5,148.355,-70.8,90.0,top
Q6,159.71,-70.8,90.0,top
Q7,172.2675,-29.5,90.0,top
Q8,172.405,-70.8,90.0,top
Q9,183.6225,-29.5,90.0,top
R1,153.7,-60.9,180.0,top
R11,224.51,-60.9,180.0,top
R12,224.51,-56.9,180.0,top
R13,224.51,-52.9,180.0,top
R2,153.7,-56.9,180.0,top
R3,153.7,-52.9,180.0,top
R4,165.7225,-35.66,270.0,top
R5,201.1275,-35.66,270.0,top
R6,189.10519,-60.9,180.0,top
R7,189.10519,-56.9,180.0,top
R8,189.10519,-52.9,180.0,top
R9,236.5275,-35.66,270.0,top
TH1,165.7225,-33.71,270.0,top
TH2,201.1275,-33.71,270.0,top
TH3,236.5275,-33.71,270.0,top
U1,152.8,-48.775,270.0,top
U2,188.20519,-48.775,270.0,top
U3,223.61,-48.775,270.0,top
